,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA_Percentage,EU_Percentage,JP_Percentage,Other_Percentage,NA_average,EU_average,JP_average,Other_average
31,32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,66.05,25.48,0.75,7.72,45.39,22.9,24.42,6.48
32,33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,36.03,28.22,30.24,5.51,45.39,22.9,24.42,6.48
33,34,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,40.52,40.8,2.46,16.22,45.39,22.9,24.42,6.48
34,35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,35.57,41.91,4.63,17.96,45.39,22.9,24.42,6.48
35,36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,60.09,31.32,0.51,8.16,45.39,22.9,24.42,6.48
36,37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,63.06,26.87,0.59,9.55,45.39,22.9,24.42,6.48
37,38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,41.16,43.24,3.64,12.04,45.39,22.9,24.42,6.48
38,39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,53.36,34.43,2.29,9.92,45.39,22.9,24.42,6.48
39,40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,51.76,20.02,20.4,7.82,45.39,22.9,24.42,6.48
40,41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,46.98,34.88,3.77,14.38,45.39,22.9,24.42,6.48
41,42,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,20.78,28.69,43.44,7.17,45.39,22.9,24.42,6.48
42,43,Mario Kart 7,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,38.82,32.02,21.87,7.29,45.39,22.9,24.42,6.48
43,44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,65.65,23.31,1.07,9.97,45.39,22.9,24.42,6.48
44,45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,31.72,48.5,3.01,16.86,45.39,22.9,24.42,6.48
45,46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,36.97,23.28,33.28,6.47,45.39,22.9,24.42,6.48
46,47,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,58.12,23.97,16.06,1.93,45.39,22.9,24.42,6.48
47,48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,25.81,0.09,9.43,64.58,45.39,22.9,24.42,6.48
48,49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,53.47,29.51,10.42,6.6,45.39,22.9,24.42,6.48
49,50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,37.33,29.74,27.18,5.74,45.39,22.9,24.42,6.48
50,51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,55.1,18.25,24.06,2.59,45.39,22.9,24.42,6.48
51,52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,61.34,28.13,1.27,9.35,45.39,22.9,24.42,6.48
52,53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,36.71,35.34,23.2,4.75,45.39,22.9,24.42,6.48
53,54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,45.32,27.71,19.74,7.23,45.39,22.9,24.42,6.48
54,55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,27.48,45.31,7.52,19.68,45.39,22.9,24.42,6.48
55,56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,46.68,34.52,3.55,15.25,45.39,22.9,24.42,6.48
56,57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,45.03,35.57,4.16,15.33,45.39,22.9,24.42,6.48
57,58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,56.78,20.38,20.09,2.75,45.39,22.9,24.42,6.48
58,59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,41.37,25.26,30.03,3.34,45.39,22.9,24.42,6.48
59,60,Super Mario 64,DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,48.75,29.85,12.0,9.4,45.39,22.9,24.42,6.48
60,61,Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,58.97,30.7,0.0,10.43,45.39,22.9,24.42,6.48
61,62,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,65.82,25.76,0.39,8.03,45.39,22.9,24.42,6.48
62,63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,71.15,20.04,0.81,7.89,45.39,22.9,24.42,6.48
63,64,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,56.23,19.66,22.59,1.52,45.39,22.9,24.42,6.48
64,65,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,37.27,31.26,25.15,6.42,45.39,22.9,24.42,6.48
65,66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,67.93,24.18,0.41,7.48,45.39,22.9,24.42,6.48
66,67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,30.97,25.41,33.74,9.88,45.39,22.9,24.42,6.48
67,68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,42.65,38.89,3.96,14.39,45.39,22.9,24.42,6.48
68,69,Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,61.34,30.36,0.11,8.19,45.39,22.9,24.42,6.48
69,70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,40.89,36.04,17.81,5.27,45.39,22.9,24.42,6.48
70,71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,63.41,25.54,1.39,9.66,45.39,22.9,24.42,6.48
71,72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,46.88,18.39,32.26,2.47,45.39,22.9,24.42,6.48
72,73,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,60.65,30.76,0.22,8.37,45.39,22.9,24.42,6.48
73,74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,22.11,25.52,47.96,4.51,45.39,22.9,24.42,6.48
74,75,Mario Party DS,DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,49.45,20.84,21.95,7.76,45.39,22.9,24.42,6.48
75,76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,56.9,32.35,1.13,9.62,45.39,22.9,24.42,6.48
76,77,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,40.41,14.16,43.49,2.05,45.39,22.9,24.42,6.48
77,78,FIFA 16,PS4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,13.07,71.38,0.71,14.84,45.39,22.9,24.42,6.48
78,79,Wii Party,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,21.08,41.58,29.33,8.01,45.39,22.9,24.42,6.48
79,80,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,80.33,18.02,0.59,0.94,45.39,22.9,24.42,6.48
80,81,Mario Party 8,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,45.25,27.32,18.76,8.67,45.39,22.9,24.42,6.48
81,82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,34.93,22.33,37.7,5.16,45.39,22.9,24.42,6.48
82,83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,12.86,61.29,1.58,24.39,45.39,22.9,24.42,6.48
83,84,The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,12.08,79.16,0.0,8.75,45.39,22.9,24.42,6.48
84,85,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,71.69,24.85,1.61,1.85,45.39,22.9,24.42,6.48
85,86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06,32.01,48.39,8.19,11.29,45.39,22.9,24.42,6.48
86,87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,36.15,25.71,33.91,4.1,45.39,22.9,24.42,6.48
87,88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,29.01,21.88,46.18,2.93,45.39,22.9,24.42,6.48
88,89,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,35.97,22.7,34.31,7.02,45.39,22.9,24.42,6.48
89,90,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,93.21,5.76,0.0,1.02,45.39,22.9,24.42,6.48
90,91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,37.56,36.66,3.11,22.67,45.39,22.9,24.42,6.48
91,92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,47.59,31.47,12.74,8.32,45.39,22.9,24.42,6.48
92,93,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,38.2,42.89,2.87,16.04,45.39,22.9,24.42,6.48
93,94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,36.84,43.42,1.84,18.03,45.39,22.9,24.42,6.48
94,95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,53.95,24.87,19.08,2.11,45.39,22.9,24.42,6.48
95,96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,49.87,28.63,17.28,4.09,45.39,22.9,24.42,6.48
96,97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,72.25,15.82,9.38,2.55,45.39,22.9,24.42,6.48
97,98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,43.49,18.12,32.48,5.77,45.39,22.9,24.42,6.48
98,99,Call of Duty: World at War,X360,2008,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,64.99,25.78,0.0,9.36,45.39,22.9,24.42,6.48
99,100,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,60.76,29.02,0.82,9.4,45.39,22.9,24.42,6.48
100,101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,52.39,29.96,8.21,9.58,45.39,22.9,24.42,6.48
101,102,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,61.92,28.63,0.14,9.18,45.39,22.9,24.42,6.48
102,103,Just Dance,Wii,2009,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,48.28,41.68,0.0,10.04,45.39,22.9,24.42,6.48
103,104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,39.42,40.53,4.84,15.21,45.39,22.9,24.42,6.48
104,105,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,45.42,39.31,1.11,14.17,45.39,22.9,24.42,6.48
105,106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,45.67,31.01,19.55,4.05,45.39,22.9,24.42,6.48
106,107,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,51.61,24.54,19.92,3.93,45.39,22.9,24.42,6.48
107,108,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,62.38,14.71,19.66,3.11,45.39,22.9,24.42,6.48
108,109,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,44.97,29.74,18.25,7.04,45.39,22.9,24.42,6.48
109,110,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,35.49,45.26,3.45,15.8,45.39,22.9,24.42,6.48
110,111,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,59.28,25.47,12.52,2.73,45.39,22.9,24.42,6.48
111,112,Just Dance 4,Wii,2012,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,59.91,31.98,0.0,8.1,45.39,22.9,24.42,6.48
112,113,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,11.3,62.61,1.01,25.07,45.39,22.9,24.42,6.48
113,114,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,39.28,43.77,1.16,15.8,45.39,22.9,24.42,6.48
114,115,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,42.9,40.26,2.49,14.49,45.39,22.9,24.42,6.48
115,116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,40.56,41.0,2.78,15.52,45.39,22.9,24.42,6.48
116,117,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,47.36,34.46,13.78,4.4,45.39,22.9,24.42,6.48
117,118,Zumba Fitness,Wii,2010,Sports,505 Games,3.5,2.64,0.0,0.67,6.81,51.4,38.77,0.0,9.84,45.39,22.9,24.42,6.48
118,119,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,61.39,28.4,0.89,9.47,45.39,22.9,24.42,6.48
119,120,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,48.59,33.43,3.12,14.86,45.39,22.9,24.42,6.48
120,121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,46.13,34.23,4.17,15.48,45.39,22.9,24.42,6.48
121,122,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,12.56,64.57,1.64,21.23,45.39,22.9,24.42,6.48
122,123,Big Brain Academy,DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,25.04,41.68,23.99,9.3,45.39,22.9,24.42,6.48
123,124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,42.27,39.55,2.58,15.61,45.39,22.9,24.42,6.48
124,125,FIFA 15,PS4,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,11.99,65.1,0.76,22.31,45.39,22.9,24.42,6.48
125,126,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,49.32,27.92,15.63,7.13,45.39,22.9,24.42,6.48
126,127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,38.87,41.31,3.81,16.01,45.39,22.9,24.42,6.48
127,128,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,57.45,14.29,25.96,2.15,45.39,22.9,24.42,6.48
128,129,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,40.62,39.38,2.46,17.54,45.39,22.9,24.42,6.48
129,130,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,77.45,20.22,1.24,1.09,45.39,22.9,24.42,6.48
130,131,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,40.09,24.65,32.14,3.28,45.39,22.9,24.42,6.48
131,132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,56.88,18.75,23.28,1.09,45.39,22.9,24.42,6.48
132,133,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,39.91,24.41,20.19,15.49,45.39,22.9,24.42,6.48
133,134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,68.24,21.23,0.94,9.59,45.39,22.9,24.42,6.48
134,135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,58.36,31.07,1.42,8.99,45.39,22.9,24.42,6.48
135,136,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,63.55,19.97,13.79,2.69,45.39,22.9,24.42,6.48
136,137,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,39.21,13.17,45.56,1.9,45.39,22.9,24.42,6.48
137,138,World of Warcraft,PC,2004,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,1.11,98.89,0.0,0.0,45.39,22.9,24.42,6.48
138,139,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,49.6,44.66,0.32,5.26,45.39,22.9,24.42,6.48
139,140,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,62.82,28.53,0.48,8.17,45.39,22.9,24.42,6.48
140,141,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,64.9,25.96,1.12,7.85,45.39,22.9,24.42,6.48
141,142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,57.94,31.1,1.15,9.82,45.39,22.9,24.42,6.48
142,143,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,40.5,33.22,14.38,11.9,45.39,22.9,24.42,6.48
143,144,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,74.13,19.9,2.65,3.15,45.39,22.9,24.42,6.48
144,145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,43.62,28.86,13.76,13.76,45.39,22.9,24.42,6.48
145,146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,52.74,30.35,12.94,3.98,45.39,22.9,24.42,6.48
146,147,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,40.23,38.06,4.67,16.86,45.39,22.9,24.42,6.48
147,148,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,31.6,0.0,39.16,29.24,45.39,22.9,24.42,6.48
148,149,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,47.3,34.63,2.87,15.2,45.39,22.9,24.42,6.48
149,150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,11.3,11.82,74.49,2.57,45.39,22.9,24.42,6.48
150,151,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,62.78,27.96,0.0,9.09,45.39,22.9,24.42,6.48
151,152,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,32.3,25.26,34.71,7.73,45.39,22.9,24.42,6.48
152,153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,39.37,32.93,23.69,4.01,45.39,22.9,24.42,6.48
153,154,Cooking Mama,DS,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,54.72,33.92,1.22,10.14,45.39,22.9,24.42,6.48
154,155,Destiny,PS4,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,44.07,36.28,2.83,16.99,45.39,22.9,24.42,6.48
155,156,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,53.23,12.37,32.44,1.97,45.39,22.9,24.42,6.48
156,157,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,45.6,35.01,3.77,15.62,45.39,22.9,24.42,6.48
157,158,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,53.15,10.81,35.5,0.72,45.39,22.9,24.42,6.48
158,159,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,59.1,29.73,1.26,9.91,45.39,22.9,24.42,6.48
